seqName	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	coverage
AB695070		0	good	1169	28852	29250	0.012980675385516298
AB695073		0	good	1173	28852	29250	0.012980675385516298
AB695068		0	good	1169	28852	29250	0.012980675385516298
AB695075		0	good	1173	28852	29250	0.012980675385516298
AB695071		0	good	1169	28852	29250	0.012980675385516298
AB695074		0	good	1173	28852	29250	0.012980675385516298
AB695069		0	good	1169	28852	29250	0.012980675385516298
AB695076		0	good	1173	28852	29250	0.012980675385516298
AB695077		0	good	1173	28852	29250	0.012980675385516298
AB514461		0	good	725	14922	15172	0.008165788275099225
AB695079		4	good	4216	23644	25125	0.048213937146203395
AB695082		0	good	4182	23644	25125	0.048213937146203395
AB695080		4	good	4216	23644	25125	0.048213937146203395
AB695078		4	good	4216	23644	25125	0.048213937146203395
AB695081		4	good	4216	23644	25125	0.048213937146203395
AB695072		0	good	1173	28852	29250	0.012980675385516298
AB695084		0	good	4174	23644	25125	0.048213937146203395
AB695086		0	good	4186	23644	25125	0.048213937146203395
AX794201							
AB695083		0	good	4174	23644	25125	0.048213937146203395
AB695085		0	good	4174	23644	25125	0.048213937146203395
AF523847		0	good	847	30448	30738	0.009467109115752489
AB695087		0	good	4174	23644	25125	0.048213937146203395
AY382775		0	good	967	28581	28913	0.010833495998438416
AH013296		16	good	2201	29236	30045	0.02309844492159542
AF124989		0	good	2754	14819	15740	0.029995445377057714
AY878321		0	good	1617	18755	19293	0.01753529832780272
AY461522		0	good	3942	29112	30425	0.042748389615459695
AF523843		0	good	2836	1	948	0.030841303923482336
AY903454		0	good	11853	23644	27729	0.1329299238727308
AY903455		0	good	11796	23644	27729	0.1329299238727308
AY903457		0	good	11853	23644	27729	0.1329299238727308
AY903456		0	good	11849	23644	27729	0.1329299238727308
AY903458		0	good	11792	23644	27729	0.1329299238727308
CQ772291		0	good	750	14923	15172	0.008133255254082894
CQ772309		0	good	1483	22772	23268	0.016168911445116795
CS050812							
CS050831							
CS050853							
CS050880							
CQ772300		4	good	11228	23644	27697	0.1318888672002082
AY585229		0	good	92061	2	30738	0.9999674669789836
DJ011585							
DJ011604							
DJ011626							
DJ011653							
AY391777		0	good	92214	1	30738	1
DD266150		0	good	750	14923	15172	0.008133255254082894
DD266159		0	good	1483	22772	23268	0.016168911445116795
DL143786		0	good	1070	28568	28925	0.011646821523846704
AY585228		0	good	92085	2	30738	0.9999674669789836
DD266155		4	good	11228	23644	27697	0.1318888672002082
DQ355401		0	good	7816	23644	26293	0.08621250569327868
DQ355402		4	good	7583	23644	26293	0.08621250569327868
DQ355404		0	good	7626	23644	26293	0.08621250569327868
DQ355403		0	good	7540	23644	26293	0.08621250569327868
DQ355406		0	good	7609	23644	26293	0.08621250569327868
DQ355405		0	good	7605	23644	26293	0.08621250569327868
DQ355408		0	good	7560	23644	26293	0.08621250569327868
AY903459		4	good	91039	1	30738	1
DQ355407		0	good	7540	23644	26293	0.08621250569327868
EF507732		0	good	942	25561	25883	0.0105081657882751
AY903460		4	good	90979	1	30738	1
EF077278		4	good	1220	15185	15605	0.013696401847875593
EF507733		0	good	957	25561	25883	0.0105081657882751
EF394299		0	good	1241	15168	15586	0.01363133580584293
EF507734		0	good	961	25561	25883	0.0105081657882751
EF507735		0	good	961	25561	25883	0.0105081657882751
EF394298		0	good	1237	15168	15586	0.01363133580584293
EF507736		0	good	961	25561	25883	0.0105081657882751
EF507739		0	good	961	25561	25883	0.0105081657882751
EF549611							
EF549612							
EF549613							
EF549614							
EF549615							
EF549616							
EF549617							
EF549618							
EF549619							
EF549620							
EF549621							
EF507738		0	good	961	25561	25883	0.0105081657882751
EF507741		0	good	961	25561	25883	0.0105081657882751
EF507740		0	good	961	25561	25883	0.0105081657882751
EF507744		0	good	953	25561	25883	0.0105081657882751
EF507737		0	good	961	25561	25883	0.0105081657882751
EF507742		0	good	961	25561	25883	0.0105081657882751
EF507743		0	good	961	25561	25883	0.0105081657882751
FJ647040		0	good	737	23754	24012	0.008426052443229878
FJ647042		0	good	737	23754	24012	0.008426052443229878
FJ647041		0	good	737	23754	24012	0.008426052443229878
FJ647039		0	good	737	23754	24012	0.008426052443229878
FJ647044		0	good	737	23754	24012	0.008426052443229878
FJ647043		0	good	737	23754	24012	0.008426052443229878
FJ647045		0	good	737	23754	24012	0.008426052443229878
FJ647047		0	good	737	23754	24012	0.008426052443229878
FJ647046		0	good	737	23754	24012	0.008426052443229878
EU370702		0	good	386	15605	15734	0.004229292732123105
FJ647049		0	good	737	23754	24012	0.008426052443229878
FJ647048		0	good	737	23754	24012	0.008426052443229878
FJ647053		0	good	772	23741	24012	0.008848981716442189
FJ647051		0	good	745	23754	24012	0.008426052443229878
FJ647050		0	good	737	23754	24012	0.008426052443229878
FJ647052		0	good	826	23738	24027	0.009434576094736156
FJ647054		0	good	822	23727	24012	0.00930444401067083
FJ647056		0	good	867	23727	24027	0.009792439325915805
FJ647055		0	good	772	23741	24012	0.008848981716442189
FJ647057		0	good	774	23757	24026	0.008783915674409526
FJ647058		0	good	784	23738	24013	0.008979113800507515
FJ647059		0	good	817	23741	24027	0.009336977031687163
FJ647061		0	good	777	23757	24027	0.008816448695425857
FJ647060		0	good	732	23757	24012	0.008328453380180883
FJ647062		0	good	817	23741	24027	0.009336977031687163
FJ647065		0	good	766	23727	23996	0.008783915674409526
FJ647063		0	good	777	23757	24027	0.008816448695425857
FJ647064		0	good	784	23741	24016	0.008979113800507515
FJ647068		0	good	826	23738	24027	0.009434576094736156
FJ647066		0	good	814	23742	24027	0.00930444401067083
FJ647067		0	good	817	23741	24027	0.009336977031687163
FJ647071		0	good	772	23741	24012	0.008848981716442189
GN352065							
GN352066							
GN352067							
GN352068							
GN352069							
GN352070							
GN352071							
GN352072							
GN352073							
GN352074							
FJ647069		0	good	781	23738	24012	0.008946580779491184
FJ647070		0	good	826	23738	24027	0.009434576094736156
FJ647072		0	good	787	23751	24027	0.009011646821523847
HH977461							
FJ647073		0	good	822	23741	24026	0.00930444401067083
FJ647074		0	good	784	23741	24016	0.008979113800507515
HC734564		0	good	750	14923	15172	0.008133255254082894
FJ647075		0	good	826	23738	24027	0.009434576094736156
HC734582		0	good	1483	22772	23268	0.016168911445116795
FJ647076		0	good	787	23741	24017	0.009011646821523847
HC734573		4	good	11228	23644	27697	0.1318888672002082
HM130760		0	good	1119	15205	16761	0.050653913722428265
HM130763		0	good	1112	15206	16761	0.050621380701411936
HM130764		4	good	1118	15205	16402	0.038974559177565225
HM130758		0	good	1119	15205	16761	0.050653913722428265
HM130762		4	good	1113	15205	18723	0.11448370095647081
HM130765		0	good	1127	15205	24590	0.3053549352592882
HM130761		0	good	1115	15205	24590	0.3053549352592882
HM130767		0	good	1115	15205	16761	0.050653913722428265
HM130766		0	good	1119	15205	16761	0.050653913722428265
HM130768		0	good	1119	15205	16761	0.050653913722428265
HM130769		0	good	1123	15205	16761	0.050653913722428265
HM130770		0	good	1127	15205	16761	0.050653913722428265
HM130759		0	good	1116	15205	24589	0.30532240223827184
HM130775		0	good	1121	15205	16177	0.03165462944889062
HM130774		0	good	1127	15205	16761	0.050653913722428265
HM130776		0	good	1127	15205	16761	0.050653913722428265
HM130773		0	good	1127	15205	16761	0.050653913722428265
HM130772		0	good	1123	15205	16761	0.050653913722428265
HM130771		0	good	1127	15205	16761	0.050653913722428265
HM130777		0	good	1127	15205	16761	0.050653913722428265
HM130779		0	good	1119	15205	16761	0.050653913722428265
HM130778		0	good	1127	15205	16761	0.050653913722428265
HM130780		0	good	1127	15205	16761	0.050653913722428265
HM130781		0	good	1127	15205	16761	0.050653913722428265
HM130782		0	good	1127	15205	16761	0.050653913722428265
HM130783		0	good	1123	15205	16761	0.050653913722428265
HM130784		0	good	1127	15205	16761	0.050653913722428265
HM130786		0	good	1127	15205	16761	0.050653913722428265
HM130785		0	good	1123	15205	16761	0.050653913722428265
HM130788		0	good	1127	15205	16761	0.050653913722428265
HM130787		0	good	1127	15205	16761	0.050653913722428265
HM130796							
HM130789		0	good	1123	15205	16761	0.050653913722428265
HM130790		0	good	1127	15205	16761	0.050653913722428265
HM130793		0	good	1127	15205	16761	0.050653913722428265
HM130791		0	good	1119	15205	16761	0.050653913722428265
HM130792		0	good	1127	15205	16761	0.050653913722428265
HV540165		0	good	1070	28568	28925	0.011646821523846704
HM130795		0	good	1127	15205	16761	0.050653913722428265
HM130794		0	good	1123	15205	16761	0.050653913722428265
HM130797		0	good	1127	15205	16761	0.050653913722428265
HM130798		0	good	1123	15205	16761	0.050653913722428265
JQ732184		0	good	675	15259	15483	0.007319929728674604
JQ732183		0	good	675	15259	15483	0.007319929728674604
HM130799		0	good	1127	15205	16761	0.050653913722428265
JQ732185		0	good	675	15259	15483	0.007319929728674604
JQ732186		0	good	675	15259	15483	0.007319929728674604
JQ732187		0	good	675	15259	15483	0.007319929728674604
JQ732188		0	good	675	15259	15483	0.007319929728674604
JQ732189		0	good	675	15259	15483	0.007319929728674604
JQ732191		0	good	675	15259	15483	0.007319929728674604
JQ732190		0	good	675	15259	15483	0.007319929728674604
JQ732195		0	good	675	15259	15483	0.007319929728674604
JQ732192		0	good	675	15259	15483	0.007319929728674604
JQ732194		0	good	675	15259	15483	0.007319929728674604
JQ732193		0	good	675	15259	15483	0.007319929728674604
JQ732196		0	good	675	15259	15483	0.007319929728674604
JQ732203		0	good	671	15259	15483	0.007319929728674604
JX513225		0	good	1814	15147	15752	0.019715010735896935
JX513224		0	good	1810	15147	15752	0.019715010735896935
JN129834		4	good	90977	2	30738	0.9999674669789836
JX513226		0	good	1811	15147	15751	0.019682477714880603
JX513227		0	good	1814	15147	15752	0.019715010735896935
JX513228		0	good	1814	15147	15752	0.019715010735896935
JN129835		4	good	90936	2	30738	0.9999674669789836
JX513230		0	good	1814	15147	15752	0.019715010735896935
JX513231		0	good	1810	15147	15752	0.019715010735896935
JX513234		0	good	1814	15147	15752	0.019715010735896935
JX513235		0	good	1814	15147	15752	0.019715010735896935
JX513233		0	good	1810	15147	15752	0.019715010735896935
JX513229		0	good	1814	15147	15752	0.019715010735896935
JX513232		0	good	1727	15147	15723	0.01877155312642332
JX513236		0	good	1814	15147	15752	0.019715010735896935
JX513242		0	good	1811	15147	15751	0.019682477714880603
JX513237		0	good	1814	15147	15752	0.019715010735896935
JX513238		0	good	1814	15147	15752	0.019715010735896935
JX513240		0	good	1814	15147	15752	0.019715010735896935
JX513239		0	good	1806	15147	15752	0.019715010735896935
JX513241		0	good	1814	15147	15752	0.019715010735896935
JX513243		0	good	1725	15147	15725	0.018836619168455984
JX513256		0	good	2491	24778	25680	0.029377317977747414
JX513257		0	good	2489	24781	25681	0.02931225193571475
JX513259		0	good	2497	24777	25681	0.029442384019780075
JX513244		0	good	1811	15147	15751	0.019682477714880603
JX513260		0	good	7953	23644	26453	0.09141778905589173
JX513258		0	good	7925	23644	26441	0.09102739280369575
JX513261		0.444444	good	7951	23644	26451	0.09132018999284273
JX513264		4	good	2523	24774	25690	0.029832780271976056
JX513265		0	good	2521	24777	25689	0.02970264818791073
JX513263		0	good	2515	24773	25687	0.02976771422994339
JX513262		0	good	7913	23644	26441	0.09102739280369575
JX513266		0	good	2536	24773	25690	0.02986531329299239
JX513267		0	good	2523	24777	25687	0.029637582145878066
KF512575		0	good	1645	30022	30580	0.018185958748129352
KF512574		0	good	1641	30022	30580	0.018185958748129352
KF512578		0	good	1641	30022	30580	0.018185958748129352
KC294430		0	good	1274	15153	15590	0.01424946320515323
KF512577		0	good	1633	30022	30580	0.018185958748129352
KF512576		0	good	1645	30022	30580	0.018185958748129352
KC513529		0	good	1908	24695	25330	0.020691001366386883
KF512580		0	good	1649	30022	30580	0.018185958748129352
JX513268		0	good	7951	23644	26451	0.09135272301385906
KF512583		0	good	1641	30022	30580	0.018185958748129352
KF512584		0	good	1653	30022	30580	0.018185958748129352
KF512585		0	good	1649	30022	30580	0.018185958748129352
KF512581		0	good	1641	30022	30580	0.018185958748129352
KF512579		0	good	1645	30022	30580	0.018185958748129352
KF512586		0	good	1649	30022	30580	0.018185958748129352
KF512582		0	good	1641	30022	30580	0.018185958748129352
