seqName	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	coverage
AB695071		4900	bad	1169	28852	29250	0.012980675385516298
AB695074		4225	bad	1173	28852	29250	0.012980675385516298
AB695072		4900	bad	1173	28852	29250	0.012980675385516298
AB695068		4900	bad	1169	28852	29250	0.012980675385516298
AB695070		4900	bad	1169	28852	29250	0.012980675385516298
AB695069		4900	bad	1169	28852	29250	0.012980675385516298
AB695073		4225	bad	1173	28852	29250	0.012980675385516298
AB695075		4225	bad	1173	28852	29250	0.012980675385516298
AB695077		4225	bad	1173	28852	29250	0.012980675385516298
AB695076		4225	bad	1173	28852	29250	0.012980675385516298
AB695078		105629	bad	4216	23644	25125	0.048213937146203395
AB695079		105629	bad	4216	23644	25125	0.048213937146203395
AB695081		105629	bad	4216	23644	25125	0.048213937146203395
AB695083		105629	bad	4175	23644	25125	0.048213937146203395
AB695080		105629	bad	4216	23644	25125	0.048213937146203395
AB695082		105629	bad	4183	23644	25125	0.048213937146203395
AB695084		105629	bad	4175	23644	25125	0.048213937146203395
AB695086		105629	bad	4187	23644	25125	0.048213937146203395
AX794201							
AB695085		105629	bad	4175	23644	25125	0.048213937146203395
AB695087		105629	bad	4175	23644	25125	0.048213937146203395
AF523847		0	good	847	30448	30738	0.009467109115752489
AY382775		900	bad	967	28581	28913	0.010833495998438416
AH013296		904	bad	2201	29236	30045	0.02309844492159542
AF124989		57600	bad	2754	14819	15740	0.029995445377057714
AF523843		90000	bad	2836	1	948	0.030841303923482336
AY461522		60025	bad	3942	29112	30425	0.042748389615459695
AY903454		960400	bad	11854	23644	27729	0.1329299238727308
AY878321		24025	bad	1617	18755	19293	0.01753529832780272
AY903455		940904	bad	11796	23644	27729	0.1329299238727308
AY903457		960400	bad	11854	23644	27729	0.1329299238727308
AB514461		2029	bad	726	14922	20795	0.19109896544993168
AY903456		970225	bad	11850	23644	27729	0.1329299238727308
AY903458		940904	bad	11792	23644	27729	0.1329299238727308
AY391777		104755225	bad	92214	1	30738	1
CS050812							
CS050831							
CS050853							
CS050880							
CQ772291		2500	bad	750	14923	15172	0.008133255254082894
CQ772309		18225	bad	1483	22772	23268	0.016168911445116795
CQ772300		912029	bad	11230	23644	27697	0.1318888672002082
DJ011585							
DJ011604							
DJ011626							
DJ011653							
AY585228		104652900	bad	92085	2	30738	0.9999674669789836
DD266150		2500	bad	750	14923	15172	0.008133255254082894
DD266159		18225	bad	1483	22772	23268	0.016168911445116795
DL143786		625	bad	1070	28568	28925	0.011646821523846704
DQ355401		455625	bad	7816	23644	26293	0.08621250569327868
DQ355402		448904	bad	7584	23644	26293	0.08621250569327868
AY585229		104652900	bad	92061	2	30738	0.9999674669789836
DD266155		912029	bad	11230	23644	27697	0.1318888672002082
DQ355404		462400	bad	7626	23644	26293	0.08621250569327868
DQ355406		442225	bad	7610	23644	26293	0.08621250569327868
DQ355407		429029	bad	7540	23644	26293	0.08621250569327868
DQ355403		429029	bad	7540	23644	26293	0.08621250569327868
DQ355405		435600	bad	7606	23644	26293	0.08621250569327868
DQ355408		442225	bad	7559	23644	26293	0.08621250569327868
EF507732		10000	bad	941	25561	25883	0.0105081657882751
EF394298		15625	bad	1238	15168	15613	0.014509727373283883
EF077278		104	bad	1221	15185	15605	0.013696401847875593
AY903459		104652904	bad	91039	1	30738	1
EF507734		12100	bad	961	25561	25883	0.0105081657882751
EF507733		12100	bad	957	25561	25883	0.0105081657882751
AY903460		103734241	bad	90978	1	30738	1
EF394299		15625	bad	1241	15168	15586	0.01363133580584293
EF507736		12100	bad	961	25561	25883	0.0105081657882751
EF507735		12100	bad	961	25561	25883	0.0105081657882751
EF507740		12100	bad	961	25561	25883	0.0105081657882751
EF549611							
EF549612							
EF549613							
EF549614							
EF549615							
EF549616							
EF549617							
EF549618							
EF549619							
EF549620							
EF549621							
EF507737		12100	bad	961	25561	25883	0.0105081657882751
EF507743		12100	bad	961	25561	25883	0.0105081657882751
EF507739		12100	bad	961	25561	25883	0.0105081657882751
EF507742		12100	bad	961	25561	25883	0.0105081657882751
EF507738		12100	bad	961	25561	25883	0.0105081657882751
EF507741		12100	bad	961	25561	25883	0.0105081657882751
EF507744		11025	bad	953	25561	25883	0.0105081657882751
EU370702		625	bad	386	15605	15734	0.004229292732123105
FJ647040		4225	bad	737	23754	24012	0.008426052443229878
FJ647039		4225	bad	737	23754	24012	0.008426052443229878
FJ647042		4225	bad	737	23754	24012	0.008426052443229878
FJ647041		4225	bad	737	23754	24012	0.008426052443229878
FJ647044		4225	bad	737	23754	24012	0.008426052443229878
FJ647043		4225	bad	737	23754	24012	0.008426052443229878
FJ647045		4225	bad	737	23754	24012	0.008426052443229878
FJ647046		4225	bad	737	23754	24012	0.008426052443229878
FJ647049		4225	bad	737	23754	24012	0.008426052443229878
FJ647051		4225	bad	745	23754	24012	0.008426052443229878
FJ647047		4225	bad	737	23754	24012	0.008426052443229878
FJ647048		4225	bad	737	23754	24012	0.008426052443229878
FJ647050		4225	bad	737	23754	24012	0.008426052443229878
FJ647055		3600	bad	772	23741	24012	0.008848981716442189
FJ647052		3600	bad	826	23738	24027	0.009434576094736156
FJ647053		3600	bad	772	23741	24012	0.008848981716442189
FJ647056		6400	bad	867	23727	24027	0.009792439325915805
FJ647054		6400	bad	822	23727	24012	0.00930444401067083
FJ647060		4225	bad	732	23757	24012	0.008328453380180883
FJ647057		4225	bad	774	23757	24026	0.008783915674409526
FJ647058		3600	bad	784	23738	24013	0.008979113800507515
FJ647063		4225	bad	777	23757	24027	0.008816448695425857
FJ647059		3600	bad	817	23741	24027	0.009336977031687163
FJ647062		3600	bad	817	23741	24027	0.009336977031687163
FJ647061		4225	bad	777	23757	24027	0.008816448695425857
FJ647065		4225	bad	766	23727	23996	0.008783915674409526
FJ647064		3600	bad	784	23741	24016	0.008979113800507515
FJ647066		3600	bad	814	23742	24027	0.00930444401067083
FJ647067		3600	bad	817	23741	24027	0.009336977031687163
FJ647069		3600	bad	781	23738	24012	0.008946580779491184
FJ647068		3600	bad	826	23738	24027	0.009434576094736156
GN352065							
GN352066							
GN352067							
GN352068							
GN352069							
GN352070							
GN352071							
GN352072							
GN352073							
GN352074							
FJ647071		3600	bad	772	23741	24012	0.008848981716442189
FJ647072		3600	bad	787	23751	24027	0.009011646821523847
FJ647070		3600	bad	826	23738	24027	0.009434576094736156
HH977461							
FJ647073		4225	bad	822	23741	24026	0.00930444401067083
FJ647074		3600	bad	784	23741	24016	0.008979113800507515
FJ647076		3600	bad	787	23741	24017	0.009011646821523847
FJ647075		3600	bad	826	23738	24027	0.009434576094736156
HC734582		18225	bad	1483	22772	23268	0.016168911445116795
HC734564		2500	bad	750	14923	15172	0.008133255254082894
HC734573		912029	bad	11230	23644	27697	0.1318888672002082
HM130758		11025	bad	1118	15205	16761	0.050653913722428265
HM130764		11029	bad	1118	15205	16402	0.038974559177565225
HM130760		11025	bad	1118	15205	16761	0.050653913722428265
HM130763		10000	bad	1111	15206	16761	0.050621380701411936
HM130759		11025	bad	1116	15205	25489	0.3346021211529703
HM130767		11025	bad	1114	15205	16761	0.050653913722428265
HM130766		11025	bad	1118	15205	16761	0.050653913722428265
HM130768		11025	bad	1118	15205	16761	0.050653913722428265
HM130769		11025	bad	1122	15205	16761	0.050653913722428265
HM130761		11025	bad	1115	15205	29544	0.4665235213741948
HM130771		11025	bad	1126	15205	16761	0.050653913722428265
HM130772		11025	bad	1122	15205	16761	0.050653913722428265
HM130762		11025	bad	1113	15205	20680	0.1781508230854317
HM130770		11025	bad	1126	15205	16761	0.050653913722428265
HM130773		11025	bad	1126	15205	16761	0.050653913722428265
HM130774		11025	bad	1126	15205	16761	0.050653913722428265
HM130777		11025	bad	1126	15205	16761	0.050653913722428265
HM130765		11025	bad	1127	15205	29544	0.4665235213741948
HM130778		11025	bad	1126	15205	16761	0.050653913722428265
HM130775		11025	bad	1121	15205	16177	0.03165462944889062
HM130779		11025	bad	1118	15205	16761	0.050653913722428265
HM130776		11025	bad	1126	15205	16761	0.050653913722428265
HM130781		11025	bad	1126	15205	16761	0.050653913722428265
HM130780		11025	bad	1126	15205	16761	0.050653913722428265
HM130782		11025	bad	1126	15205	16761	0.050653913722428265
HM130787		11025	bad	1126	15205	16761	0.050653913722428265
HM130784		11025	bad	1126	15205	16761	0.050653913722428265
HM130783		10000	bad	1122	15205	16761	0.050653913722428265
HM130785		11025	bad	1122	15205	16761	0.050653913722428265
HM130789		11025	bad	1122	15205	16761	0.050653913722428265
HM130788		11025	bad	1126	15205	16761	0.050653913722428265
HM130793		11025	bad	1126	15205	16761	0.050653913722428265
HM130792		11025	bad	1126	15205	16761	0.050653913722428265
HM130796							
HM130786		11025	bad	1126	15205	16761	0.050653913722428265
HV540165		625	bad	1070	28568	28925	0.011646821523846704
HM130794		11025	bad	1122	15205	16761	0.050653913722428265
HM130790		11025	bad	1126	15205	16761	0.050653913722428265
HM130791		10000	bad	1118	15205	16761	0.050653913722428265
HM130799		11025	bad	1126	15205	16761	0.050653913722428265
JQ732183		3025	bad	675	15259	15483	0.007319929728674604
JQ732184		3025	bad	675	15259	15483	0.007319929728674604
HM130797		11025	bad	1126	15205	16761	0.050653913722428265
HM130795		11025	bad	1126	15205	16761	0.050653913722428265
HM130798		11025	bad	1122	15205	16761	0.050653913722428265
JQ732187		3025	bad	675	15259	15483	0.007319929728674604
JQ732185		3025	bad	675	15259	15483	0.007319929728674604
JQ732188		3025	bad	675	15259	15483	0.007319929728674604
JQ732192		3025	bad	675	15259	15483	0.007319929728674604
JQ732191		3025	bad	675	15259	15483	0.007319929728674604
JQ732186		3025	bad	675	15259	15483	0.007319929728674604
JQ732189		3025	bad	675	15259	15483	0.007319929728674604
JQ732190		3025	bad	675	15259	15483	0.007319929728674604
JQ732195		3025	bad	675	15259	15483	0.007319929728674604
JQ732193		3025	bad	675	15259	15483	0.007319929728674604
JQ732194		3025	bad	675	15259	15483	0.007319929728674604
JQ732203		3025	bad	671	15259	15483	0.007319929728674604
JQ732196		3025	bad	675	15259	15483	0.007319929728674604
JX513225		28900	bad	1814	15147	15752	0.019715010735896935
JX513226		28900	bad	1811	15147	15751	0.019682477714880603
JX513227		28900	bad	1814	15147	15752	0.019715010735896935
JX513224		28900	bad	1810	15147	15752	0.019715010735896935
JX513229		28900	bad	1814	15147	15752	0.019715010735896935
JX513230		28900	bad	1814	15147	15752	0.019715010735896935
JN129835		103938041	bad	90935	2	30738	0.9999674669789836
JX513232		25600	bad	1727	15147	15723	0.01877155312642332
JX513228		28900	bad	1814	15147	15752	0.019715010735896935
JX513234		28900	bad	1814	15147	15752	0.019715010735896935
JX513233		28900	bad	1810	15147	15752	0.019715010735896935
JX513231		28900	bad	1810	15147	15752	0.019715010735896935
JX513237		28900	bad	1814	15147	15752	0.019715010735896935
JN129834		103938041	bad	90975	2	30738	0.9999674669789836
JX513236		28900	bad	1814	15147	15752	0.019715010735896935
JX513235		28900	bad	1814	15147	15752	0.019715010735896935
JX513238		28900	bad	1814	15147	15752	0.019715010735896935
JX513239		28900	bad	1806	15147	15752	0.019715010735896935
JX513242		28900	bad	1811	15147	15751	0.019682477714880603
JX513240		28900	bad	1814	15147	15752	0.019715010735896935
JX513241		28900	bad	1814	15147	15752	0.019715010735896935
JX513243		28900	bad	1725	15147	15725	0.018836619168455984
JX513256		55225	bad	2491	24778	25680	0.029377317977747414
JX513244		28900	bad	1811	15147	15751	0.019682477714880603
JX513257		52900	bad	2489	24781	25681	0.02931225193571475
JX513259		55225	bad	2497	24777	25681	0.029442384019780075
JX513260		511229	bad	7953	23644	26453	0.09141778905589173
JX513264		24029	bad	2523	24774	25690	0.029832780271976056
JX513258		490004	bad	7925	23644	26441	0.09102739280369575
JX513261		504104.444444	bad	7951	23644	26451	0.09132018999284273
JX513263		52900	bad	2515	24773	25687	0.02976771422994339
JX513267		55225	bad	2523	24777	25687	0.029637582145878066
JX513265		57600	bad	2521	24777	25689	0.02970264818791073
JX513266		57600	bad	2536	24773	25690	0.02986531329299239
JX513268		504104	bad	7951	23644	26451	0.09135272301385906
JX513262		483029	bad	7913	23644	26441	0.09102739280369575
KF512575		3600	bad	1645	30022	30580	0.018185958748129352
KF512574		4225	bad	1641	30022	30580	0.018185958748129352
KF512578		4225	bad	1641	30022	30580	0.018185958748129352
KF512577		4225	bad	1633	30022	30580	0.018185958748129352
KF512576		4225	bad	1645	30022	30580	0.018185958748129352
KC294430		15625	bad	1274	15153	15590	0.01424946320515323
KC513529		28900	bad	1908	24695	25330	0.020691001366386883
KF512582		4225	bad	1641	30022	30580	0.018185958748129352
KF512579		4225	bad	1645	30022	30580	0.018185958748129352
KF512581		4900	bad	1641	30022	30580	0.018185958748129352
KF512583		4900	bad	1641	30022	30580	0.018185958748129352
KF512585		4225	bad	1649	30022	30580	0.018185958748129352
KF512584		4225	bad	1653	30022	30580	0.018185958748129352
KF512586		4225	bad	1649	30022	30580	0.018185958748129352
KF512580		4225	bad	1649	30022	30580	0.018185958748129352
KF512587		4225	bad	1641	30022	30580	0.018185958748129352
KF512588		4900	bad	1637	30022	30580	0.018185958748129352
KF512589		4225	bad	1641	30022	30580	0.018185958748129352
KF512593		4225	bad	1641	30022	30580	0.018185958748129352
KF512590		4225	bad	1641	30022	30580	0.018185958748129352
KF512591		4225	bad	1641	30022	30580	0.018185958748129352
KF512592		4225	bad	1641	30022	30580	0.018185958748129352
KF512595		4225	bad	1641	30022	30580	0.018185958748129352
KF512594		4225	bad	1641	30022	30580	0.018185958748129352
KF512598		4225	bad	1641	30022	30580	0.018185958748129352
KF512602		4225	bad	1633	30022	30580	0.018185958748129352
KF512600		4225	bad	1633	30022	30580	0.018185958748129352
KF512596		4225	bad	1641	30022	30580	0.018185958748129352
KF512597		4225	bad	1637	30022	30580	0.018185958748129352
KF512599		4225	bad	1641	30022	30580	0.018185958748129352
KF512603		4225	bad	1641	30022	30580	0.018185958748129352
KF512601		4225	bad	1645	30022	30580	0.018185958748129352
KF512605		4225	bad	1649	30022	30580	0.018185958748129352
KF512604		4225	bad	1641	30022	30580	0.018185958748129352
KF512612		4900	bad	1637	30022	30580	0.018185958748129352
KF512606		4225	bad	1653	30022	30580	0.018185958748129352
KF512608		4225	bad	1641	30022	30580	0.018185958748129352
KF512607		4225	bad	1641	30022	30580	0.018185958748129352
KF512609		4225	bad	1641	30022	30580	0.018185958748129352
KF512610		4225	bad	1641	30022	30580	0.018185958748129352
KF512611		4225	bad	1641	30022	30580	0.018185958748129352
KF512613		4900	bad	1677	30022	30580	0.018185958748129352
KF512614		15625	bad	1623	24228	24785	0.01815342572711302
KF512615		15625	bad	1623	24228	24785	0.01815342572711302
KF512622		12100	bad	1606	24228	24785	0.01815342572711302
KF512618		15625	bad	1623	24228	24785	0.01815342572711302
KF512617		13225	bad	1598	24228	24785	0.01815342572711302
KF512616		13225	bad	1594	24228	24785	0.01815342572711302
