accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage
AB514461	AB514461.1	GenBank		AB514461	Asia	Muntinlupa	2007-XX-XX	2009-10-02	2016-07-24	251	Homo sapiens		oronasopharynx		Furuse,Y.,Suzuki,A.,Kishi,M.,Galang,H.O.,Lupisan,S.P.,Olveda,R.M.,Oshitani,H.	Department of Virology; 2-1 Seiryo-machi, Aoba-ku, Sendai, Miyagi 980-8575	Japan	Philippines	Alabang	Furuse et al.		2029	bad	726	14922	20795	0.19109896544993168
AB695068	AB695068.1	GenBank		AB695068	Asia		2011-02-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4900	bad	1169	28852	29250	0.012980675385516298
AB695069	AB695069.1	GenBank		AB695069	Asia		2011-02-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4900	bad	1169	28852	29250	0.012980675385516298
AB695070	AB695070.1	GenBank		AB695070	Asia		2011-02-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4900	bad	1169	28852	29250	0.012980675385516298
AB695071	AB695071.1	GenBank		AB695071	Asia		2011-02-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4900	bad	1169	28852	29250	0.012980675385516298
AB695072	AB695072.1	GenBank		AB695072	Asia		2011-03-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4900	bad	1173	28852	29250	0.012980675385516298
AB695073	AB695073.1	GenBank		AB695073	Asia		2011-05-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4225	bad	1173	28852	29250	0.012980675385516298
AB695074	AB695074.1	GenBank		AB695074	Asia		2011-05-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4225	bad	1173	28852	29250	0.012980675385516298
AB695075	AB695075.1	GenBank		AB695075	Asia		2011-05-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4225	bad	1173	28852	29250	0.012980675385516298
AB695076	AB695076.1	GenBank		AB695076	Asia		2011-06-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4225	bad	1173	28852	29250	0.012980675385516298
AB695077	AB695077.1	GenBank		AB695077	Asia		2011-07-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		4225	bad	1173	28852	29250	0.012980675385516298
AB695078	AB695078.1	GenBank		AB695078	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4216	23644	25125	0.048213937146203395
AB695079	AB695079.1	GenBank		AB695079	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4216	23644	25125	0.048213937146203395
AB695080	AB695080.1	GenBank		AB695080	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4216	23644	25125	0.048213937146203395
AB695081	AB695081.1	GenBank		AB695081	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4216	23644	25125	0.048213937146203395
AB695082	AB695082.1	GenBank		AB695082	Asia		2011-03-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4183	23644	25125	0.048213937146203395
AB695083	AB695083.1	GenBank		AB695083	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4175	23644	25125	0.048213937146203395
AB695084	AB695084.1	GenBank		AB695084	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4175	23644	25125	0.048213937146203395
AB695085	AB695085.1	GenBank		AB695085	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.		105629	bad	4175	23644	25125	0.048213937146203395
