accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
AB176531	AB176531.1	GenBank		AB176531			XXXX-XX-XX	2005-06-17	2020-12-19	15654					Nishio,M.,Tsurudome,M.,Ito,M.,Garcin,D.,Kolakofsky,D.,Ito,Y.	Department of Microbiology; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Nishio et al.
AB189948	AB189948.1	GenBank		62-M786			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Nishikawa,F.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB189949	AB189949.1	GenBank		86-391			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Nishikawa,F.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB189950	AB189950.1	GenBank		76-86			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Inoue,T.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB189951	AB189951.1	GenBank		4-80			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Inoue,T.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB189952	AB189952.1	GenBank		TC-6482			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Ikegaya,H.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB189953	AB189953.1	GenBank		TC-6558			XXXX-XX-XX	2006-06-02	2020-12-19	1888					Tanahashi,S.,Ito,M.,Nishio,M.,Ikegaya,H.,Ito,Y.,Tsurudome,M.	School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AB367954	AB367954.1	GenBank		AB367954			XXXX-XX-XX	2008-05-09	2020-12-19	1919					Tanahashi,S.,Ito,M.,Nishio,M.,Ito,Y.,Tsurudome,M.	Graduate School of Medicine; 2-174 Edobashi, Tsu, Mie 514-8507	Japan			Tanahashi et al.
AF039930	AF039930.1	GenBank		Connecticut, 1977			XXXX-XX-XX	1998-05-02	2016-07-25	453	Homo sapiens				Echevarria,J.E.,Erdman,D.D.,Meissner,H.C.,Anderson,L.	Centro Nacional Microbiologia, Instituto de Salud Carlos III, Microbiologia Diagnostica	Spain			Echevarria et al.
AF039931	AF039931.1	GenBank		Delaware 1971			XXXX-XX-XX	1998-05-02	2016-07-25	453	Homo sapiens				Echevarria,J.E.,Erdman,D.D.,Meissner,H.C.,Anderson,L.	Centro Nacional Microbiologia, Instituto de Salud Carlos III, Microbiologia Diagnostica	Spain			Echevarria et al.
AF039932	AF039932.1	GenBank		Hawaii, 1968			XXXX-XX-XX	1998-05-02	2016-07-25	453	Homo sapiens				Echevarria,J.E.,Erdman,D.D.,Meissner,H.C.,Anderson,L.	Centro Nacional Microbiologia, Instituto de Salud Carlos III, Microbiologia Diagnostica	Spain			Echevarria et al.
AF039934	AF039934.1	GenBank		Kansas, 1982			XXXX-XX-XX	1998-05-02	2016-07-25	453	Homo sapiens				Echevarria,J.E.,Erdman,D.D.,Meissner,H.C.,Anderson,L.	Centro Nacional Microbiologia, Instituto de Salud Carlos III, Microbiologia Diagnostica	Spain			Echevarria et al.
AF039937	AF039937.1	GenBank		San Francisco, California, 1980			XXXX-XX-XX	1998-05-02	2016-07-25	453	Homo sapiens				Echevarria,J.E.,Erdman,D.D.,Meissner,H.C.,Anderson,L.	Centro Nacional Microbiologia, Instituto de Salud Carlos III, Microbiologia Diagnostica	Spain			Echevarria et al.
AF213351	AF213351.1	GenBank		AF213351			XXXX-XX-XX	2000-09-07	2000-09-07	1861					Tao,T.,Skiadopoulos,M.H.,Davoodi,F.,Riggs,J.M.,Collins,P.L.,Murphy,B.R.,Cho,C.J.	LID, NIAID, NIH, Bldg 7, Rm 138	USA			Tao et al.
AF213352	AF213352.1	GenBank		AF213352			XXXX-XX-XX	2000-09-07	2000-09-07	1994					Tao,T.,Skiadopoulos,M.H.,Davoodi,F.,Riggs,J.M.,Collins,P.L.,Murphy,B.R.,Cho,C.J.	LID, NIAID, NIH, Bldg 7, Rm 138	USA			Tao et al.
AF533010	AF533010.1	GenBank		AF533010			XXXX-XX-XX	2002-12-13	2002-12-16	15654					Skiadopoulos,M.H.,Vogel,L.,Riggs,J.M.,Surman,S.R.,Collins,P.L.,Murphy,B.R.	NIAID, NIH, Laboratory of Infectious Diseases	USA			Skiadopoulos et al.
AF533011	AF533011.1	GenBank		AF533011			XXXX-XX-XX	2002-12-13	2002-12-16	15654					Skiadopoulos,M.H.,Vogel,L.,Riggs,J.M.,Surman,S.R.,Collins,P.L.,Murphy,B.R.	NIAID, NIH, Laboratory of Infectious Diseases	USA			Skiadopoulos et al.
